ID,Module,Type,Requirement,Screen Route,Backend API Requirement,Test Case Summary,Status,Build Phase,Gate
M11-FEAT-003,M11 Integrations,Feature,E-signature for contracts,N/A,DocuSign webhook,Signed doc status updates in M06,FAIL,Phase F,Gate F
M11-FEAT-004,M11 Integrations,Feature,DMS connectors,N/A,SharePoint/Drive OAuth sync,File appears in contract library,FAIL,Phase F,Gate F
M11-FEAT-005,M11 Integrations,Feature,ERP/HRIS for compliance role assignments,N/A,User/dept sync job,HRIS dept maps to obligation assignees,FAIL,Phase F,Gate F
M11-FEAT-006,M11 Integrations,Feature,Integration health monitoring,N/A,Health check cron and alerting,Down integration triggers admin alert,FAIL,Phase F,Gate F
M12-UI-001,M12 Security,UI,Role-based permission matrix,/security permissions,GET /security/permissions,Matrix matches enforced permissions,PARTIAL,Phase A,Gate A
M12-UI-002,M12 Security,UI,Data encryption status indicators,/security encryption,Encryption config service,Indicators reflect actual encryption state,PARTIAL,Phase A,Gate A
M12-UI-003,M12 Security,UI,Two-factor authentication settings,/security MFA,MFA policy API,Org/user MFA settings configurable,PARTIAL,Phase A,Gate A
M12-UI-004,M12 Security,UI,Login activity monitoring,/security login,GET /audit/login-activity,All logins listed with IP device,PARTIAL,Phase A,Gate A
M12-UI-005,M12 Security,UI,Comprehensive audit log viewer,/security audit,GET /audit/logs paginated,All actions searchable and filterable,PARTIAL,Phase A,Gate A
M12-UI-006,M12 Security,UI,User action timeline with filters,/security timeline,Filtered audit query,Filter by user action date range,PARTIAL,Phase A,Gate A
M12-UI-007,M12 Security,UI,Document access and modification logs,/security document logs,GET /audit/document-access,View download edit logged per document,PARTIAL,Phase A,Gate A
M12-UI-008,M12 Security,UI,Compliance action audit trail,/security compliance audit,GET /audit/compliance-actions,All M04 actions in audit view,PARTIAL,Phase A,Gate A
M12-UI-009,M12 Security,UI,Regulatory update review logs,/security regulatory audit,GET /audit/regulatory-reviews,All M05 reviews logged,PARTIAL,Phase A,Gate A
M12-UI-010,M12 Security,UI,Export audit trail function,/security,GET /audit/logs/export,CSV/PDF export downloads,FAIL,Phase A,Gate A
M12-UI-011,M12 Security,UI,Anomaly detection alerts,/security anomalies,GET /security/anomalies,Anomalies listed with severity,PARTIAL,Phase A,Gate A
M12-UI-012,M12 Security,UI,Data retention policy configuration,/security retention,PUT /security/retention-policies,Policies saved and enforceable,PARTIAL,Phase A,Gate A
M12-FEAT-001,M12 Security,Feature,Granular role-based access control,N/A,RBAC on every API endpoint,Unauthorized API returns 403,FAIL,Phase A,Gate A
M12-FEAT-002,M12 Security,Feature,Data encryption for sensitive data,N/A,AES-256 at rest; TLS in transit,Evidence files encrypted in storage,FAIL,Phase A,Gate A
M12-FEAT-003,M12 Security,Feature,Mandatory multi-factor authentication,N/A,Enforced org-wide,No MFA bypass possible,FAIL,Phase A,Gate A
M12-FEAT-004,M12 Security,Feature,Complete tracking of all system activities,N/A,Audit middleware on all mutations,Every create/update/delete logged,FAIL,Phase A,Gate A
M12-FEAT-005,M12 Security,Feature,Document and compliance action audit trail,N/A,Domain event to audit log,Auditor reconstructs document history,FAIL,Phase A,Gate A
M12-FEAT-006,M12 Security,Feature,Regulatory update review documentation,N/A,Review event to immutable log,Review cannot be deleted,FAIL,Phase A,Gate A
M12-FEAT-007,M12 Security,Feature,Security incident detection,N/A,Incident creation from anomalies,Anomaly escalates to incident record,FAIL,Phase A,Gate A
M12-FEAT-008,M12 Security,Feature,Legal data protection compliance,N/A,Retention encryption access controls,Data handling meets policy config,FAIL,Phase A,Gate A
M12-FEAT-009,M12 Security,Feature,Real-time anomaly detection,N/A,Rule engine on login/access patterns,Unusual login triggers alert within 1 min,FAIL,Phase A,Gate A
